device,precision,shape_mode,n_queries,docs_per_query,scenario,internal_batch_size,chunk_size,total_time_s_mean,total_time_s_p50,total_time_s_p95,per_query_latency_mean_s,per_query_latency_p50_s,per_query_latency_p95_s,per_doc_latency_s,throughput_docs_per_s,intra_op_threads,inter_op_threads,rss_before_mb,rss_after_mb,rss_peak_delta_mb,cpu_util_avg,gpu_util_avg,gpu_util_max,gpu_mem_used_mb,oom_retries,execution_providers,gpu_stack,coreml_fallback_warning,notes
coreml,fp32,dynamic,2,2,B,16,,6.894780791325805,6.4535064160008915,7.734419715983677,3.4473903956629024,3.2267532080004457,3.938371707990882,1.7236951978314512,0.5801489737037507,,,2920.53125,1540.453125,0.0,366.9266115148468,,,,0,"CoreMLExecutionProvider,CPUExecutionProvider",CoreML,,
cpu,fp32,dynamic,2,2,B,16,,6.978278375337443,6.098136749991681,9.562627050315495,3.4891391876687217,3.0490683749958407,4.973785208509071,1.7445695938343608,0.5732072847848485,,,2030.4375,1081.984375,0.0,320.1707020255165,,,,0,CPUExecutionProvider,CPU,,
